pixel_num_ratio: 0.885000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.013111   ;   ouput_choice_idx: 2
pixel_num_ratio: 9.779000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.120000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.458333   ;   ouput_choice_idx: 0
pixel_num_ratio: 8.826500   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.315750   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.815000   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.123667   ;   ouput_choice_idx: 2
pixel_num_ratio: 13.081000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.602000   ;   ouput_choice_idx: 2
